protocol,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,Macro_Class,Attack_Type,Label,capture_id
6,0.000913,1230010.9529025191,14238.773274917854,8762.322015334064,5476.45125958379,8,5,781,342,281,54,97.625,70.28857926434422,74,66,68.4,3.2,281,54,86.38461538461539,56.97710533665588,3246.39053254438,160,100,20,3,7.608333333333333e-05,0.000334,0.0,9.411381260060728e-05,0.000913,0.000367,0.0,0.0001304285714285,0.0001121349405758,0.000813,0.000373,7.1e-05,0.0002032499999999,0.0001084213424561,3,1,0,0,1,3,1,4,10,0,0,0.625,86.38461538461539,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,97.625,68.4,0,8,5,781,342,benign,benign,0,benign_17
6,0.001031,749757.5169738118,8729.388942774005,5819.592628516004,2909.796314258002,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.771236166328253,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.000128875,0.0006,0.0,0.0002073441809528,0.001031,0.000621,0.0,0.0002062,0.0002410704461355,0.000982,0.000619,0.000363,0.000491,0.000128,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,94.5,68.66666666666667,0,6,3,567,206,benign,benign,0,benign_17
6,0.000855,904093.567251462,10526.315789473683,7017.543859649123,3508.771929824561,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.771236166328253,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.000106875,0.000716,0.0,0.0002308990241967,0.000855,0.000734,0.0,0.0001709999999999,0.0002822126857531,0.0008129999999999,0.000734,7.9e-05,0.0004064999999999,0.0003275,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,94.5,68.66666666666667,0,6,3,567,206,benign,benign,0,benign_17
6,0.000581,1931153.1841652323,22375.215146299484,13769.363166953528,8605.851979345955,8,5,780,342,280,54,97.5,69.96248994997248,74,66,68.4,3.2,280,54,86.3076923076923,56.71437833617831,3216.5207100591715,160,100,20,3,4.841666666666666e-05,0.000203,0.0,5.971244752050354e-05,0.000581,0.000219,0.0,8.3e-05,6.850651689542285e-05,0.00053,0.000229,4e-05,0.0001325,6.786199230791858e-05,3,1,0,0,1,3,1,4,10,0,0,0.625,86.3076923076923,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,97.5,68.4,0,8,5,780,342,benign,benign,0,benign_17
6,0.003022,255790.8669755129,2978.1601588352087,1985.440105890139,992.7200529450696,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.771236166328253,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.00037775,0.002818,0.0,0.0009227262256487,0.003022,0.002846,0.0,0.0006044,0.0011212312161191,0.002963,0.002839,0.000124,0.0014815,0.0013575,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,94.5,68.66666666666667,0,6,3,567,206,benign,benign,0,benign_17
6,0.006187,124939.38904153871,1454.6630030709553,969.7753353806368,484.8876676903184,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.771236166328253,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.000773375,0.003294,0.0,0.001314288204457,0.006187,0.003322,0.0,0.0012374,0.0014922390693183,0.006128,0.003315,0.002813,0.003064,0.0002509999999999,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,94.5,68.66666666666667,0,6,3,567,206,benign,benign,0,benign_17
6,0.002143,360242.6504899674,4199.720018665423,2799.813345776948,1399.906672888474,6,3,566,206,220,66,94.33333333333331,56.31360601330928,74,66,68.66666666666667,3.771236166328253,220,66,85.77777777777777,47.594999218586864,2265.283950617284,120,60,20,1,0.000267875,0.001384,0.0,0.00046487617639,0.002143,0.001425,0.0,0.0004286,0.0005477695135729,0.002068,0.001412,0.000656,0.001034,0.000378,1,0,0,0,2,3,0,1,7,0,0,0.5,85.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,94.33333333333331,68.66666666666667,0,6,3,566,206,benign,benign,0,benign_17
6,0.002801,400571.2245626562,4641.199571581577,2856.122813280971,1785.0767583006068,8,5,780,342,280,54,97.5,69.96248994997248,74,66,68.4,3.2,280,54,86.3076923076923,56.71437833617831,3216.5207100591715,160,100,20,3,0.0002334166666666,0.001287,0.0,0.0004197418766999,0.002801,0.002317,0.0,0.0004001428571428,0.0007843094193659,0.001728,0.001324,6.1e-05,0.000432,0.0005170440019959,3,1,0,0,1,3,1,4,10,0,0,0.625,86.3076923076923,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,97.5,68.4,0,8,5,780,342,benign,benign,0,benign_17
6,0.002796,275751.07296137343,3218.884120171674,2145.922746781116,1072.961373390558,6,3,565,206,219,66,94.16666666666669,55.94168590793651,74,66,68.66666666666667,3.771236166328253,219,66,85.66666666666667,47.28166193732572,2235.555555555555,120,60,20,1,0.0003495,0.001769,0.0,0.0005676272984978,0.002796,0.002355,0.0,0.0005591999999999,0.0009024208330928,0.002186,0.001788,0.000398,0.001093,0.000695,1,0,0,0,2,3,0,1,7,0,0,0.5,85.66666666666667,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,94.16666666666669,68.66666666666667,0,6,3,565,206,benign,benign,0,benign_17
6,0.003314,233252.8666264333,2715.751357875679,1810.500905250453,905.2504526252264,6,3,567,206,221,66,94.5,56.68553607402862,74,66,68.66666666666667,3.771236166328253,221,66,85.88888888888889,47.90834871442774,2295.20987654321,120,60,20,1,0.00041425,0.002114,0.0,0.0007252533609022,0.003314,0.002114,0.0,0.0006628,0.0008287750961509,0.003241,0.002158,0.001083,0.0016205,0.0005375,1,0,0,0,2,3,0,1,7,0,0,0.5,85.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,94.5,68.66666666666667,0,6,3,567,206,benign,benign,0,benign_17
